TIMESTAMP,COND,COND-DETAILS,IADS-ID,IAPS-ID,WIDGET-TYPE,ANS,ANS-TIME,ID,AGE,SEX,PROCEDURE-BEGIN-TIMESTAMP,PROCEDURE-END-TIMESTAMP,BIOSIGS-BEGIN-TIMESTAMP,BIOSIGS-END-TIMESTAMP,OPENNESS,CONSCIENTIOUSNESS,EXTRAVERSION,AGREEABLENESS,NEUROTICISM,NEO-FFI,BIOSIGS,PROCEDURE,SPACE,FREUD,PHOTOS
1555651239.5041158,inc,p+s-,290,4697,emospace1,"[-0.637518310546875, -0.62601806640625]",2.13605141402968,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651257.0151176,inc,p-s+,815,9622,emospace1,"[0.6604333496093752, 0.6413775634765618]",1.9688393542692209,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651274.5951226,con,p+s+,200,4697,emospace1,"[0.0, -0.9075946044921881]",2.9698268849679152,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651292.102124,inc,p-s+,716,9184,emospace1,"[-0.8678228759765627, 0.0]",1.8683393455639816,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651309.7161314,inc,p+s-,106,7405,emospace1,"[-0.6711199951171876, 0.6822161865234373]",2.8697498035444373,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651327.3021376,inc,p-s+,601,3195,emospace1,"[-0.6802532958984376, 0.6594219970703122]",2.435937472797832,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651344.880143,inc,p-s+,820,6821,emospace1,"[0.6641070556640629, 0.6381744384765621]",1.935453312610207,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651362.4821494,con,p-s-,709,9163,emospace1,"[-0.898294677734375, 0.0]",2.119058682135801,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651380.0901568,con,p-s-,625,6250,emospace1,"[0.029846801757812496, 0.8377838134765627]",2.469387448814814,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
1555651397.6771624,inc,p-s+,220,2683,emospace1,"[0.0, 0.8156274414062497]",1.2348534102225128,1107,21.0,F,1555650720.0,1555654909.4518821,1555650712.843,1555654942.3920002,4.0,6.0,10.0,4.0,3.0,Y,Y,Y,Y,Y,Y
