ID;AGE;SEX;PROCEDURE-BEGIN-TIMESTAMP;PROCEDURE-END-TIMESTAMP;BIOSIGS-BEGIN-TIMESTAMP;BIOSIGS-END-TIMESTAMP;OPENNESS;CONSCIENTIOUSNESS;EXTRAVERSION;AGREEABLENESS;NEUROTICISM;NEO-FFI;BIOSIGS;PROCEDURE;SPACE;FREUD;PHOTOS
6603;24;M;1554712920.0;1554717115.011782;1554712943.191;1554717157.89;9;5;8;6;5;Y;Y;Y;Y;Y;Y
6610;21;M;1557133260.0;1557137522.9279191;1557133071.751;1557137563.8;6;6;8;6;1;Y;Y;Y;Y;Y;Y
6635;23;M;1555492800.0;1555497037.4633253;1555492796.399;1555497074.848;5;2;4;3;9;Y;Y;Y;Y;Y;Y
6638;nan;nan;nan;nan;1554196925.71;1554201386.859;nan;nan;nan;nan;nan;nan;Y;nan;nan;nan;nan
6639;22;M;1557824580.0;1557828771.912745;1557824518.389;1557828815.588;10;10;5;5;8;Y;Y;Y;Y;Y;Y
6678;22;M;1554968040.0;1554972300.091849;1554967954.29;1554972531.389;3;3;1;9;6;Y;Y;Y;Y;Y;Y
6684;22;M;1555655880.0;1555660200.639329;1555655870.23;1555660229.379;6;6;1;5;10;Y;Y;Y;Y;Y;Y
6739;21;F;1554299760.0;1554303931.157975;nan;nan;nan;nan;nan;nan;nan;nan;nan;Y;Y;Y;Y
6801;22;M;1555484820.0;1555489009.500581;1555484762.755;1555489047.054;4;1;3;5;8;Y;Y;Y;Y;Y;Y
6820;26;F;1558077060.0;1558081329.85705;1558076602.909;1558081366.308;8;8;3;3;8;Y;Y;Y;Y;Y;Y
6855;nan;M;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;Y;nan;Y
6880;21;M;1554126900.0;1554131092.519906;nan;nan;nan;nan;nan;nan;nan;nan;nan;Y;Y;Y;Y
7020;19;F;1555590780.0;1555594994.154419;1555590665.415;1555595029.814;3;5;3;3;8;Y;Y;Y;Y;Y;Y
7060;24;M;1557386460.0;1557390724.7859783;1557386491.882;1557390766.731;6;10;5;8;2;Y;Y;Y;Y;Y;Y
7078;22;M;1555072680.0;1555076904.1191993;1555072624.813;1555076932.962;3;6;6;9;5;Y;Y;Y;Y;Y;Y
7235;21;F;1554199500.0;1554203734.0869021;nan;nan;nan;nan;nan;nan;nan;nan;nan;Y;Y;Y;Y
