TIMESTAMP;COND;COND-DETAILS;IADS-ID;IAPS-ID;WIDGET-TYPE;ANS;ANS-TIME
1557236840.920227;con;p0s0;728;2525;emospace1;[0, 0];nan
1557236858.4312284;con;p0s0;225;4279;emospace1;[0.6294116210937505, 0.6576562499999999];3.8209558816924982
1557236875.9352298;inc;p+s-;283;4659;emospace1;[-0.8492938232421893, -0.018967285156249916];5.472386060268036
1557236893.4202302;inc;p-s+;813;9423;emospace1;[-0.6490124511718754, -0.6103930664062499];4.988599273248838
1557236910.9312315;inc;p+s-;719;5215;emospace1;[-0.882702026367188, -0.005164184570312508];5.472386660589109
1557236928.4202313;con;p+s+;360;4656;emospace1;[0.876581420898438, 0.0];3.2701475773064885
1557236945.907232;con;p+s+;220;5623;emospace1;[0.6587194824218746, 0.6168994140625];1.4516371097815863
1557236963.3942325;inc;p-s+;601;3195;emospace1;[0, 0];nan
1557236980.891233;con;p-s-;241;3010;emospace1;[-0.8545202636718753, 0.0];3.737279313903855
1557236998.3772333;inc;p-s+;202;9902;emospace1;[-0.6097204589843749, 0.6017102050781251];7.074092117101827
1557237015.8832345;con;p0s0;361;7632;emospace1;[0, 0];nan
1557237033.379235;con;p+s+;367;5470;emospace1;[0.6477581787109375, 0.608973999023437];2.252613654578454
1557237050.880236;con;p+s+;110;8380;emospace1;[0.886620483398438, 0.0];3.520356939818157
1557237068.3802369;inc;p-s+;210;3102;emospace1;[0.01611633300781254, 0.8516491699218746];5.288849127518915
1557237085.8662374;con;p+s+;205;9156;emospace1;[0.8835778808593762, 0.016389160156249902];4.92183019154254
1557237103.366238;inc;p+s-;260;4490;emospace1;[-0.007119750976562412, 0.0];4.237845117964753
1557237120.8612387;inc;p-s+;204;3053;emospace1;[-0.6368334960937497, 0.6528991699218745];4.471384121829033
1557237138.3552394;inc;p+s-;290;4697;emospace1;[0.8569818115234366, -0.0014752197265627673];4.35471982643503
1557237155.836239;con;p0s0;723;9926;emospace1;[-0.8686889648437479, 0.0];5.238980628189893
1557237173.347241;con;p-s-;502;6231;emospace1;[-0.655775146484375, 0.6480877685546884];2.3525808769627474
1557237190.854242;inc;p+s-;293;2300;emospace1;[0.041585693359374995, -0.9001263427734381];3.5040260636087623
1557237208.3412426;inc;p+s-;703;4611;emospace1;[0.6870104980468746, 0.6328570556640625];3.0699519922018226
1557237225.8302426;con;p0s0;382;7079;emospace1;[0.0, -0.889022216796875];1.6685342703167407
