TIMESTAMP;COND;COND-DETAILS;IADS-ID;IAPS-ID;WIDGET-TYPE;ANS;ANS-TIME
1557404012.4902086;con;p-s-;713;6510;emoscale1;2.0;0.48349477961164666
1557404029.9609554;inc;p-s+;415;9325;emoscale1;4.0;0.45032045124753495
1557404047.4465616;con;p-s-;709;9163;emoscale1;1.0;0.7168920070907916
1557404064.9095616;inc;p-s+;216;3015;emoscale1;3.0;2.5667979968493455
1557404082.3735616;inc;p-s+;378;3120;emoscale1;1.0;7.650227281457774
1557404099.8395615;inc;p-s+;355;3150;emoscale1;1.0;0.533487395663542
1557404117.3075616;con;p+s+;355;8178;emoscale1;5.0;0.6167939146689605
1557404134.7755616;inc;p+s-;291;5621;emoscale1;4.0;0.6334038910390518
1557404152.2405615;con;p0s0;225;4279;emoscale1;4.0;0.4332845472636109
1557404169.7065616;inc;p+s-;255;9156;emoscale1;3;nan
1557404187.1725614;inc;p-s+;820;6821;emoscale1;2.0;0.4502174962290155
1557404204.6545615;con;p+s+;367;5470;emoscale1;5.0;0.8501389142365952
1557404222.1265616;con;p0s0;152;9468;emoscale1;4.0;1.4502259007203975
1557404239.6045613;inc;p-s+;110;6213;emoscale1;3;nan
1557404257.0765615;inc;p+s-;241;8001;emoscale1;4.0;2.233441651220346
1557404274.5535614;inc;p+s-;424;4651;emoscale1;3;nan
1557404292.0185616;con;p+s+;360;4656;emoscale1;3;nan
1557404309.4835615;inc;p+s-;289;8186;emoscale1;3;nan
1557404326.9565613;inc;p+s-;106;7405;emoscale1;4.0;1.633456118950562
1557404344.4335616;inc;p-s+;351;6250;emoscale1;4.0;0.3501821373356506
1557404361.9145615;inc;p-s+;817;1525;emoscale1;3;nan
1557404379.3835616;con;p-s-;624;9902;emoscale1;2.0;0.5667820883463719
1557404396.8475616;inc;p-s+;220;2683;emoscale1;1.0;3.0167099297868845
1557404414.3165615;con;p+s+;200;4697;emoscale1;4.0;0.48342394175415393
1557404431.7815616;con;p0s0;377;6010;emoscale1;2.0;0.48348577479919186
1557404449.2465615;con;p0s0;723;9926;emoscale1;2.0;0.4333427783822117
1557404466.7135615;con;p+s+;220;5623;emoscale1;4.0;0.38351074814636377
1557404484.1885614;con;p-s-;277;3053;emoscale1;1.0;0.5674697558388289
1557404501.6605613;con;p-s-;134;8230;emoscale1;2.0;0.5168756183302321
1557404519.1405613;con;p0s0;358;2115;emoscale1;3;nan
1557404536.6115615;inc;p-s+;109;3261;emoscale1;1.0;0.5835130293635302
1557404554.0755615;inc;p-s+;360;6230;emoscale1;3;nan
1557404571.5525615;inc;p-s+;204;3053;emoscale1;1.0;0.5837999827090243
1557404589.0285616;inc;p-s+;202;9902;emoscale1;3;nan
1557404606.4925613;inc;p+s-;625;5470;emoscale1;2.0;0.3169003515467921
1557404623.9585614;inc;p+s-;703;4611;emoscale1;4.0;1.3832427049019316
1557404641.4235616;inc;p+s-;134;4660;emoscale1;3;nan
1557404658.8965616;con;p0s0;361;7632;emoscale1;3;nan
1557404676.3815615;con;p0s0;130;7092;emoscale1;3;nan
1557404693.8555615;con;p-s-;711;3261;emoscale1;1.0;0.7001628670368518
1557404711.3305616;con;p-s-;502;6231;emoscale1;2.0;0.7168049605716078
1557404728.8095615;con;p0s0;728;2525;emoscale1;4.0;1.3500095451017842
1557404746.2935615;inc;p-s+;716;9184;emoscale1;2.0;0.4167868308832112
1557404763.7725613;inc;p+s-;312;8370;emoscale1;5.0;0.5500481457274873
1557404781.2355616;con;p0s0;104;2810;emoscale1;4.0;1.4001186233908811
1557404798.7035615;inc;p+s-;423;5270;emoscale1;2.0;1.3835971943408367
1557404816.1735616;con;p-s-;283;9184;emoscale1;3;nan
1557404833.6585615;inc;p-s+;366;6263;emoscale1;3;nan
1557404851.1325614;con;p+s+;215;4651;emoscale1;3.0;1.0501285887185077
1557404868.5995615;inc;p-s+;808;3010;emoscale1;1.0;0.6500645945197903
1557404886.0665615;inc;p+s-;422;4800;emoscale1;3;nan
1557404903.5325613;con;p-s-;106;6213;emoscale1;2.0;0.5502093318682455
1557404921.0055616;con;p0s0;382;7079;emoscale1;3;nan
1557404938.4825616;inc;p+s-;295;5623;emoscale1;2.0;1.033464883632405
1557404955.9475615;inc;p-s+;200;3005;emoscale1;2.0;0.6334456133372441
1557404973.4135616;inc;p-s+;353;6370;emoscale1;3;nan
1557404990.8805616;inc;p+s-;310;8470;emoscale1;4.0;1.2334386496149818
1557405008.3495615;inc;p+s-;290;4697;emoscale1;2.0;4.750229322551604
1557405025.8255615;con;p+s+;716;4652;emoscale1;4.0;0.6334816325834254
1557405043.2925613;con;p0s0;724;6570;emoscale1;3;nan
1557405764.7665615;inc;p+s-;501;4656;emospace1;[0, 0];nan
1557405782.2405615;inc;p-s+;601;3195;emospace1;[-0.49830932617187534, -0.5414276123046875];4.116934990059235
1557405799.7195616;inc;p-s+;205;9253;emospace1;[-0.7065661621093752, 0.290164794921875];2.400230283063138
1557405817.2025616;con;p+s+;110;8380;emospace1;[0.35726013183593736, 0.0];2.8831907771527767
1557405834.6705616;inc;p+s-;277;4647;emospace1;[-0.010186767578124999, 0.5414117431640625];3.5335033041665156
1557405852.1305616;con;p+s+;353;4660;emospace1;[0.0, 0.5184381103515628];3.2834693860422703
1557405869.6005616;inc;p+s-;709;8193;emospace1;[0.18232055664062505, -0.59469482421875];4.367088672188402
1557405887.0675616;con;p0s0;170;1112;emospace1;[0.7227050781250003, -0.6322851562500001];3.2335431054343644
1557405904.5305614;inc;p-s+;365;6510;emospace1;[0.0, -0.6547418212890626];4.633597494503192
1557405921.9975615;con;p+s+;352;8186;emospace1;[0.0, -0.6091876220703125];3.100292896520841
1557405939.4635615;inc;p-s+;815;9622;emospace1;[0.2338018798828125, 0.6245336914062501];3.400872926489683
1557405956.9305615;con;p-s-;260;3102;emospace1;[-0.995555419921875, 0.9958734130859375];4.4669685479930195
1557405974.3965616;inc;p+s-;260;4490;emospace1;[0.5258575439453124, 0.1501605224609375];5.200207290778053
1557405991.8635616;con;p+s+;366;7501;emospace1;[1.0, -1.0];4.383682740055519
1557406009.3315616;con;p-s-;289;6263;emospace1;[-0.6668933105468744, -0.771614379882813];4.116971609626489
