TIMESTAMP;COND;COND-DETAILS;IADS-ID;IAPS-ID;WIDGET-TYPE;ANS;ANS-TIME
1554286327.8466158;con;p-s-;719;6821;emoscale1;1.0;0.6507698144605456
1554286345.381619;inc;p+s-;260;4490;emoscale1;4.0;3.153302244999395
1554286362.868619;inc;p-s+;415;9325;emoscale1;1.0;0.6340447270995355
1554286380.349619;con;p-s-;241;3010;emoscale1;2.0;2.3023917766395243
1554286397.8536205;con;p+s+;200;4697;emoscale1;3;nan
1554286415.33462;con;p0s0;724;6570;emoscale1;3;nan
1554286432.8426213;inc;p+s-;106;7405;emoscale1;4.0;1.7018677613214095
1554286450.3256214;con;p0s0;152;9468;emoscale1;4.0;0.3505517799048903
1554286467.8226225;inc;p-s+;815;9622;emoscale1;4.0;0.5172989888887969
1554286485.3076222;inc;p+s-;310;8470;emoscale1;3;nan
1554286502.808623;inc;p+s-;291;5621;emoscale1;3.0;5.722518911436055
1554286520.2936232;con;p0s0;120;1945;emoscale1;3;nan
1554286537.7946243;inc;p+s-;295;5623;emoscale1;3;nan
1554286555.2806244;con;p+s+;366;7501;emoscale1;4.0;0.33378196904595825
1554286572.796626;con;p+s+;205;9156;emoscale1;4.0;0.38381255511649215
1554286590.2856266;con;p0s0;382;7079;emoscale1;4.0;0.26709323078375746
1554286607.7656267;con;p+s+;353;4660;emoscale1;4.0;3.270203464900078
1554286625.2506266;inc;p+s-;289;8186;emoscale1;2.0;0.3671679100198162
1554286642.7516274;inc;p-s+;808;3010;emoscale1;4.0;0.3671601059204477
1554286660.244628;inc;p+s-;288;4668;emoscale1;3;nan
1554286677.7536294;inc;p-s+;601;3195;emoscale1;3;nan
1554286695.2466302;con;p-s-;502;6231;emoscale1;3;nan
1554286712.7406304;con;p0s0;373;9402;emoscale1;3;nan
1554286730.2256308;inc;p+s-;711;8130;emoscale1;2.0;1.5349386567704641
1554286747.7626338;con;p0s0;720;7046;emoscale1;4.0;0.8501594737881533
1554286765.3296385;inc;p-s+;215;3101;emoscale1;2.0;0.33378767204249016
1554286782.8156388;con;p+s+;201;4800;emoscale1;3;nan
1554286800.3826435;inc;p+s-;703;4611;emoscale1;2.0;0.6675759444005962
1554286817.8886447;inc;p-s+;716;9184;emoscale1;4.0;0.46721737600910274
1554286835.3836455;inc;p-s+;202;9902;emoscale1;2.0;1.3014141630010272
1554286852.9696512;con;p+s+;365;8193;emoscale1;4.0;0.3505601843207842
1554286870.485653;inc;p+s-;276;8341;emoscale1;1.0;0.3004092350120118
1554286887.969653;con;p+s+;215;4651;emoscale1;2.0;0.31725888781966205
1554286905.4536533;con;p-s-;255;3063;emoscale1;1.0;0.600583446543169
1554286922.9546542;con;p-s-;134;8230;emoscale1;2.0;0.30040623343484185
1554286940.4396539;inc;p+s-;134;4660;emoscale1;2.0;0.4004508969010203
1554286957.940655;inc;p-s+;610;3063;emoscale1;2.0;0.3671982259475044
1554286975.4426565;inc;p+s-;709;8193;emoscale1;2.0;0.350438020135698
1554286992.9976606;inc;p-s+;351;6250;emoscale1;3;nan
1554287010.5446641;con;p+s+;817;8470;emoscale1;4.0;0.05021428258442029
1554287028.029664;inc;p+s-;255;9156;emoscale1;3;nan
1554287045.513664;inc;p-s+;210;3102;emoscale1;1.0;0.7508796121483101
1554287062.9996645;inc;p-s+;216;3015;emoscale1;2.0;0.45058653816704464
1554287080.4996653;con;p0s0;104;2810;emoscale1;3;nan
1554287097.9896655;inc;p-s+;360;6230;emoscale1;3;nan
1554287116.373717;inc;p-s+;220;2683;emoscale1;4.0;0.4338653528566283
1554287133.8887188;inc;p-s+;109;3261;emoscale1;2.0;1.2847611134884573
1554287151.4237218;con;p+s+;352;8186;emoscale1;4.0;0.4839280557998791
1554287169.0077276;inc;p+s-;420;8178;emoscale1;3;nan
1554287186.7107403;inc;p+s-;713;7501;emoscale1;3;nan
1554287204.8277767;con;p0s0;425;7560;emoscale1;3;nan
1554287222.4287832;con;p-s-;625;6250;emoscale1;3;nan
1554287240.0067885;con;p-s-;501;3195;emoscale1;4.0;8.55874206307999
1554287257.639797;con;p+s+;415;4490;emoscale1;4.0;0.03343666762521025
1554287275.1848006;con;p+s+;360;4656;emoscale1;2.0;0.33374835138420167
1554287292.747805;inc;p+s-;293;2300;emoscale1;3;nan
1554287310.275808;con;p0s0;361;7632;emoscale1;3;nan
1554287327.8568134;con;p-s-;423;2683;emoscale1;3;nan
1554287345.4488196;inc;p+s-;290;4697;emoscale1;2.0;1.451426979734606
1554287362.991823;inc;p-s+;311;8230;emoscale1;3;nan
1554288078.7057593;con;p-s-;291;1525;emospace1;[-0.6413366699218737, 0.5939831542968749];5.789350224607915
1554288096.238762;inc;p+s-;424;4651;emospace1;[-0.7701623535156248, 0.2108563232421876];1.85209639144432
1554288113.7627645;con;p0s0;723;9926;emospace1;[-0.0006018066406250095, 0.210313720703125];4.888398064343164
1554288131.241764;con;p+s+;813;8034;emospace1;[0.4874743652343749, 0.45410156250000006];1.902105666317766
1554288148.7497654;inc;p-s+;355;3150;emospace1;[-0.8357189941406249, 0.8111163330078126];7.457655252069344
1554288166.2317655;inc;p-s+;366;6263;emospace1;[0.27723388671875004, -0.4435778808593752];8.375253558218901
1554288183.7257662;inc;p-s+;367;9429;emospace1;[-0.0005364990234374492, -0.3979248046875001];1.2848220455025512
1554288201.2127662;inc;p-s+;820;6821;emospace1;[0.3809661865234374, 0.39048400878906264];2.752981016225931
1554288218.7197678;con;p0s0;728;2525;emospace1;[0.3106475830078126, -0.16231018066406258];7.941590211497896
1554288236.2157686;con;p-s-;420;3005;emospace1;[-0.07205261230468762, 0.3359289550781253];4.971807987916691
1554288253.7007685;inc;p+s-;312;8370;emospace1;[0.0, -0.2800817871093751];6.6735250700721735
1554288271.4877858;con;p-s-;624;9902;emospace1;[-0.36828308105468754, 0.19996948242187493];4.237732104447787
1554288288.991787;con;p0s0;705;2309;emospace1;[-0.20181396484375003, 0.4595263671875003];1.8019637517554656
1554288306.4707868;inc;p-s+;200;3005;emospace1;[-0.28991088867187514, 0.17142517089843745];1.985487375066441
1554288323.9847884;con;p0s0;358;2115;emospace1;[-0.203494873046875, 0.22064270019531249];3.32014430381696
1554288341.4727886;con;p+s+;355;8178;emospace1;[0.4212585449218752, 0.16235778808593745];2.9698689691558684
1554288359.1257985;con;p0s0;377;6010;emospace1;[-0.2987506103515627, 0.0];7.257435956851623
1554288376.6758025;con;p+s+;716;4652;emospace1;[0.11574279785156254, 0.1224981689453125];3.503693140375617
1554288394.1618025;con;p+s+;110;8380;emospace1;[0.2602966308593751, -0.3774707031250001];4.3879019036603495
1554288411.6448026;inc;p-s+;817;1525;emospace1;[0.12602783203125006, 0.43223937988281236];2.2691340030050924
1554288429.1698046;con;p+s+;367;5470;emospace1;[0.3996697998046876, 0.07321533203125002];2.5026996183796655
1554288446.6488047;inc;p-s+;813;9423;emospace1;[0.087303466796875, 0.6029718017578127];0.767621508341108
1554288464.1368046;inc;p+s-;277;4647;emospace1;[-0.2510992431640625, 0.366046142578125];3.470345019272827
1554288481.6168046;con;p0s0;322;9635;emospace1;[0.0, 0.22515869140625];0.5840969845557993
1554288499.1228056;con;p-s-;283;9184;emospace1;[-0.06494934082031249, 0.3162750244140627];3.136647094383079
1554288516.6018054;inc;p-s+;110;6213;emospace1;[0.0, 0.06581237792968747];4.988494955249735
1554288534.1188073;con;p0s0;170;1112;emospace1;[0.11709350585937507, 0.11298583984375003];3.1032695578260245
1554288551.6158082;inc;p+s-;719;5215;emospace1;[-1.0, 1.0];2.6862247424796806
1554288569.1138089;con;p0s0;130;7092;emospace1;[0.7168041992187502, 0.39458435058593766];2.5694204735173116
1554288586.595809;inc;p-s+;201;9163;emospace1;[0.12619689941406254, 0.1613763427734377];6.69021323803554
1554288604.0738087;con;p0s0;225;4279;emospace1;[0.45935058593750017, 0.20514709472656256];7.691198655773405
1554288621.5588088;con;p-s-;713;6510;emospace1;[0.1778045654296875, 0.09327270507812506];1.8520279554877561
1554288639.06281;inc;p-s+;205;9253;emospace1;[-0.20562866210937497, 0.535314331054688];3.3368588856592396
1554288656.5548105;inc;p+s-;241;8001;emospace1;[0.9074432373046873, 0.3202099609375001];3.5203497917809727
1554288674.0458107;con;p-s-;106;6213;emospace1;[0.0, 0.14265869140625];0.4839907887599111
1554288691.5498118;inc;p-s+;378;3120;emospace1;[-0.2914447021484377, 0.444608154296875];3.9374405312546514
