TIMESTAMP;COND;COND-DETAILS;IADS-ID;IAPS-ID;WIDGET-TYPE;ANS;ANS-TIME
1557909822.1059678;con;p+s+;215;4651;emospace1;[0.0, -0.5463323974609375];3.583306268951219
1557909839.6049688;con;p+s+;360;4656;emospace1;[0.7217224121093753, 0.0];6.750268192517524
1557909857.1229708;con;p0s0;382;7079;emospace1;[0.0, -0.7306140136718747];4.36679701593448
1557909874.8269837;inc;p+s-;106;7405;emospace1;[-0.7793780517578127, 0.0];1.2180358642581268
1557909892.3289845;inc;p-s+;220;2683;emospace1;[0.621951904296875, -0.6602453613281244];6.400236585721814
1557909909.8649876;inc;p+s-;291;5621;emospace1;[-0.5975067138671876, -0.5769702148437501];4.450242258736125
1557909927.3769894;inc;p+s-;134;4660;emospace1;[-0.6111175537109371, 0.6157232666015628];5.000354788534423
1557909945.1110034;con;p+s+;220;5623;emospace1;[0.5181317138671863, -0.7429626464843749];5.2335030835383805
1557909962.6090045;inc;p-s+;351;6250;emospace1;[0.6295117187500002, 0.6315905761718749];3.73352559550176
1557909980.111005;inc;p+s-;310;8470;emospace1;[0.6670129394531248, -0.6355438232421876];2.666925604265998
1557909997.5960054;inc;p+s-;289;8186;emospace1;[-0.8602825927734372, -0.02223449707031362];5.000219416597702
1557910015.1170075;inc;p-s+;415;9325;emospace1;[-0.6384619140624997, 0.6748565673828129];4.650309374401331
1557910032.6180086;con;p-s-;711;3261;emospace1;[-0.9039135742187505, 0.04137634277343753];2.600180035671201
1557910050.1730125;inc;p+s-;501;4656;emospace1;[-0.7956292724609378, 0.0];1.2835402733012415
1557910067.7290163;con;p+s+;355;8178;emospace1;[0.8741070556640628, 0.0];2.283506055117414
1557910085.232018;inc;p-s+;216;3015;emospace1;[-0.6106475830078124, -0.7170971679687501];4.20021329334395
1557910102.718018;inc;p+s-;423;5270;emospace1;[-0.8642218017578124, -0.0699316406249996];2.2835810949941333
1557910120.2340198;inc;p-s+;716;9184;emospace1;[0.6474365234375, 0.630321044921875];2.3673261971412103
1557910137.7310205;inc;p+s-;703;4611;emospace1;[-0.6939263916015622, 0.5849096679687502];5.933573500958573
1557910155.238022;con;p0s0;130;7092;emospace1;[0.6323681640625, 0.5985992431640628];2.7836852503419323
1557910172.777025;inc;p+s-;424;4651;emospace1;[-0.7067596435546869, -0.6483941650390624];2.867021835403193
1557910190.2880266;inc;p-s+;355;3150;emospace1;[-0.6729736328124997, 0.6068792724609376];2.850499855623184
1557910207.7820272;con;p-s-;260;3102;emospace1;[-0.5843841552734379, -0.6758538818359374];2.5668608298446998
1557910225.2980294;inc;p+s-;502;8034;emospace1;[-0.6468853759765627, 0.659697265625];2.750233974334151
1557910242.7900295;con;p-s-;719;6821;emospace1;[-0.9037536621093748, -0.05398620605468735];2.300215934747939
1557910260.2630289;con;p+s+;352;8186;emospace1;[0.8194909667968747, 0.0];2.0168008279597416
