TIMESTAMP;COND;COND-DETAILS;IADS-ID;IAPS-ID;WIDGET-TYPE;ANS;ANS-TIME
1557305497.9003599;inc;p+s-;295;5623;emospace1;[-0.35484985351562515, 0.091170654296875];4.404645056252775
1557305515.3973608;inc;p-s+;216;3015;emospace1;[-0.3375146484375001, 0.24740112304687517];7.290874916179746
1557305532.9953675;inc;p+s-;255;9156;emospace1;[-0.8095379638671878, 0.490946044921875];3.553718068089438
1557305550.5823734;inc;p-s+;210;3102;emospace1;[-0.6417352294921874, 0.4648968505859379];7.324274164935559
1557305568.1883805;inc;p+s-;277;4647;emospace1;[-0.35173400878906236, 0.47578552246093764];4.355103432584656
1557305585.9023936;con;p-s-;502;6231;emospace1;[0.0, -0.40887695312500005];3.804012376251194
1557305603.4203956;con;p+s+;355;8178;emospace1;[-0.1514093017578125, -0.26142211914062496];3.3035030025148444
1557305621.126408;inc;p+s-;711;8130;emospace1;[0.0, -0.75124755859375];3.1200086926728545
1557305638.6274092;con;p0s0;728;2525;emospace1;[0.11840881347656251, -0.09596618652343752];3.2868374464451335
1557305656.1084092;inc;p+s-;312;8370;emospace1;[-0.5603283691406252, -0.29881835937500006];4.721624100791814
1557305673.60941;con;p-s-;719;6821;emospace1;[-0.5004748535156249, -0.17158081054687496];2.7196031147122994
1557305691.09341;inc;p-s+;808;3010;emospace1;[-0.6540655517578127, 0.15784057617187522];5.305965225712498
1557305708.590411;inc;p-s+;311;8230;emospace1;[-0.5334527587890625, 0.14781555175781255];3.4036272092635045
1557305726.0784113;con;p-s-;420;3005;emospace1;[-0.05230957031250001, 0.3335943603515624];8.391975547659968
1557305743.5754118;con;p0s0;720;7046;emospace1;[0.0, 0.29781982421875];2.185710400768585
1557305761.0714126;inc;p-s+;716;9184;emospace1;[-0.4686016845703126, 0.6021917724609377];1.601846232166281
1557305778.5514126;inc;p+s-;276;8341;emospace1;[0.0, 0.2570288085937501];4.170985387547262
1557305796.0514135;con;p+s+;817;8470;emospace1;[-0.07406311035156252, 0.32344299316406255];2.7863625912577845
1557305813.5504146;con;p0s0;225;4279;emospace1;[0.10618835449218753, 0.1467333984375];2.61947800748203
1557305831.0514152;con;p0s0;723;9926;emospace1;[-0.14578674316406254, 0.0770196533203125];3.670555556556792
1557305848.5404155;inc;p-s+;220;2683;emospace1;[-0.3414208984375001, 0.10199157714843758];4.271165724459934
1557305866.0434165;con;p-s-;289;6263;emospace1;[0.0, 0.23548400878906256];3.570432850614452
1557305883.5334172;con;p-s-;277;3053;emospace1;[-0.8535961914062506, 0.38048339843750006];6.556818434226443
1557305901.0454187;con;p-s-;501;3195;emospace1;[-0.5879840087890624, 0.3747497558593749];4.722445041965329
1557305918.5384192;con;p+s+;352;8186;emospace1;[-0.15469055175781254, 0.24531372070312507];2.385885574907661
1557305936.0444207;inc;p-s+;205;9253;emospace1;[-0.6845452880859376, 0.19973937988281254];2.853049128601924
1557305953.6484275;inc;p-s+;367;9429;emospace1;[-0.6665747070312501, 0.3482897949218751];2.4693253154237027
1557305971.2264328;con;p0s0;104;2810;emospace1;[-0.14797424316406252, -0.38682983398437515];4.721759473541169
1557305988.8234394;inc;p+s-;288;4668;emospace1;[-0.33751220703125, 0.225631103515625];3.987511788836855
1557306006.4464474;con;p+s+;201;4800;emospace1;[0.21173950195312508, 0.3592364501953126];5.739303001431836
1557306024.0064516;inc;p-s+;366;6263;emospace1;[-0.2768865966796875, 0.25516906738281253];2.019071048780461
1557306041.484451;inc;p+s-;420;8178;emospace1;[-0.1868829345703125, -0.3333319091796876];6.189764979699248
1557306059.0024533;con;p0s0;358;2115;emospace1;[-0.5078155517578127, 0.1537872314453125];3.670552554942333
1557306076.621461;inc;p-s+;610;3063;emospace1;[-0.7002319335937502, 0.7053259277343753];2.853060534731412
1557306094.1394632;con;p0s0;368;7595;emospace1;[-0.09172119140625001, -0.10062988281249996];2.6361630740357214
1557306111.6584651;con;p0s0;152;9468;emospace1;[-0.13938293457031253, -0.8217242431640623];4.7049564435928914
1557306129.142465;con;p+s+;366;7501;emospace1;[0.2399316406250001, 0.30052307128906236];2.4526915764527075
1557306146.661467;con;p-s-;288;9325;emospace1;[-1.0, 0.7475042724609378];2.5527986740071356
1557306164.1564677;con;p+s+;716;4652;emospace1;[0.28983276367187505, 0.25333923339843756];3.053162169349889
1557306181.6504686;con;p-s-;709;9163;emospace1;[-0.8167047119140628, 0.20058349609375006];6.7737576173440175
1557306199.130468;con;p+s+;365;8193;emospace1;[0.0, -0.9493377685546878];2.2525593253812985
1557306216.6134682;inc;p-s+;200;3005;emospace1;[0.13015380859375003, -0.28665649414062494];4.204436564210482
1557306234.098468;inc;p-s+;109;3261;emospace1;[-0.9884442138671886, 0.7479791259765626];3.370281989540672
1557306251.61247;inc;p+s-;502;8034;emospace1;[0.01127746582031251, -0.4309191894531253];5.188771145614737
1557306269.1004705;con;p-s-;713;6510;emospace1;[0.0, -0.5175970458984374];2.803291388792786
1557306286.700477;inc;p+s-;260;4490;emospace1;[-0.4615789794921875, 0.1127166748046876];4.321271951546805
1557306304.1874769;inc;p+s-;291;5621;emospace1;[-0.00013000488281249625, -0.5109368896484376];2.4029785606780933
1557306321.6724772;con;p+s+;110;8380;emospace1;[-0.16390991210937497, -0.5355401611328127];2.8030509595846524
1557306339.1724784;con;p-s-;255;3063;emospace1;[-1.0, 0.5896356201171878];3.7709562118689064
1557306356.6844795;con;p0s0;130;7092;emospace1;[-1.0, 0.624680786132812];3.3369211614317464
1557306374.1794806;con;p0s0;132;7249;emospace1;[-0.12656616210937502, -0.31062988281250026];3.3373377853258717
1557306391.672481;inc;p+s-;719;5215;emospace1;[0.0, -0.45935302734374994];2.0689326444025937
1557306409.1614811;inc;p+s-;289;8186;emospace1;[-0.2877679443359376, -0.5263360595703126];4.538147200304593
1557306426.6464815;con;p+s+;353;4660;emospace1;[-0.36267761230468754, 0.10781433105468752];3.320184166970648
1557306444.1314814;con;p0s0;170;1112;emospace1;[-0.19985290527343755, 0.25438354492187504];3.4537841636083613
1557306461.6174815;con;p+s+;200;4697;emospace1;[-0.31503234863281243, 0.16177551269531248];5.656014842377772
1557306479.1384838;inc;p-s+;813;9423;emospace1;[-0.47518127441406255, 0.05361938476562504];4.121027139985017
1557306496.6174836;inc;p+s-;624;4652;emospace1;[-0.30376831054687503, 0.2693133544921876];3.5204268774032244
1557306514.1014836;inc;p-s+;355;3150;emospace1;[-1.0, 0.6560986328125];2.4526963790340233
1557306531.5914838;inc;p-s+;601;3195;emospace1;[-0.6495385742187502, 0.45594848632812507];2.536123512776612
1557307240.0550056;inc;p-s+;204;3053;emoscale1;1.0;1.8019247543634265
1557307257.548006;inc;p-s+;351;6250;emoscale1;3;nan
1557307275.0490072;con;p+s+;220;5623;emoscale1;1.0;1.1846637382932386
1557307292.5370073;inc;p-s+;415;9325;emoscale1;1.0;1.9521563888447417
1557307310.033008;inc;p-s+;110;6213;emoscale1;2.0;3.9208282531035366
1557307327.522009;inc;p-s+;201;9163;emoscale1;2.0;0.4171987025820272
1557307345.0340102;inc;p-s+;378;3120;emoscale1;1.0;1.5182927305140765
1557307362.5420115;con;p+s+;367;5470;emoscale1;2.0;0.8676279632672959
1557307380.0430126;con;p0s0;322;9635;emoscale1;2.0;0.9344375667496934
1557307397.6570199;inc;p+s-;293;2300;emoscale1;1.0;1.4349238280647114
1557307415.243026;inc;p-s+;365;6510;emoscale1;2.0;0.2503411333254917
1557307432.8100307;inc;p+s-;310;8470;emoscale1;2.0;0.4171797924209386
1557307450.2970312;inc;p+s-;709;8193;emoscale1;2.0;0.8342491254788911
1557307467.7800307;con;p+s+;813;8034;emoscale1;2.0;1.1345947312074713
1557307485.2820318;inc;p-s+;202;9902;emoscale1;2.0;1.384845515980487
1557307502.7650313;inc;p+s-;625;5470;emoscale1;2.0;0.8008982026931335
1557307520.2840338;inc;p+s-;283;4659;emoscale1;1.0;1.6185925316258363
1557307537.7680335;con;p+s+;205;9156;emoscale1;1.0;1.9521470838426467
1557307555.2510338;inc;p+s-;424;4651;emoscale1;1.0;1.3014276872381743
1557307572.753035;con;p0s0;377;6010;emoscale1;1.0;1.6184103337145643
1557307590.238035;inc;p+s-;501;4656;emoscale1;1.0;0.6340856576316583
1557307607.722035;con;p0s0;120;1945;emoscale1;3.0;2.469321113165279
1557307625.2390368;con;p0s0;705;2309;emoscale1;1.0;0.6007197267808806
1557307642.7360375;inc;p-s+;360;6230;emoscale1;3;nan
1557307660.226038;con;p+s+;808;8341;emoscale1;3;nan
1557307677.712038;inc;p+s-;713;7501;emoscale1;2.0;0.40051423634940875
1557307695.1960382;inc;p+s-;422;4800;emoscale1;1.0;0.7676337263656023
1557307712.6810384;con;p-s-;624;9902;emoscale1;3;nan
1557307730.2060404;inc;p+s-;241;8001;emoscale1;2.0;0.5006537513254443
1557307747.8570507;con;p0s0;361;7632;emoscale1;2.0;0.23368848418976995
1557307765.3820527;inc;p-s+;353;6370;emoscale1;3;nan
1557307782.8670528;con;p-s-;260;3102;emoscale1;2.0;1.5016097650877782
1557307800.3690536;inc;p-s+;820;6821;emoscale1;4.0;0.3004113410552236
1557307817.8560538;inc;p+s-;290;4697;emoscale1;4.0;1.7685735314153135
1557307835.3560548;con;p-s-;423;2683;emoscale1;2.0;0.016796426400105702
1557307852.8390546;con;p-s-;625;6250;emoscale1;2.0;0.4339041801067651
1557307870.341056;con;p+s+;815;8370;emoscale1;5.0;1.0512240277930687
1557307887.8240561;con;p+s+;215;4651;emoscale1;2.0;0.5339686547558813
1557307905.325057;con;p-s-;106;6213;emoscale1;1.0;0.634073351018742
1557307922.8900616;inc;p-s+;815;9622;emoscale1;5.0;0.6507671222516365
1557307940.4450655;con;p0s0;425;7560;emoscale1;3;nan
1557307958.059073;inc;p-s+;817;1525;emoscale1;3;nan
1557307975.5980766;con;p+s+;360;4656;emoscale1;1.0;0.9010767386407679
1557307993.1080778;con;p+s+;202;4668;emoscale1;2.0;0.8843412449841708
1557308010.6020784;con;p0s0;373;9402;emoscale1;2.0;0.6674434841297625
1557308028.0840786;inc;p+s-;134;4660;emoscale1;2.0;0.33378987868127297
1557308045.5860796;inc;p-s+;215;3101;emoscale1;1.0;0.9010851431557967
1557308063.0700796;con;p+s+;415;4490;emoscale1;1.0;0.7341636395412934
1557308080.580081;inc;p-s+;352;6231;emoscale1;2.0;0.38383457269810606
1557308098.096083;inc;p+s-;106;7405;emoscale1;5.0;0.667485806872719
1557308115.5740824;con;p-s-;241;3010;emoscale1;1.0;1.01778545790512
1557308133.0780835;con;p0s0;724;6570;emoscale1;2.0;1.2013301948481967
1557308150.565084;con;p-s-;283;9184;emoscale1;2.0;1.4516184997810342
1557308168.0520842;con;p0s0;382;7079;emoscale1;3;nan
1557308185.5460846;con;p-s-;291;1525;emoscale1;2.0;0.4172089080675505
1557308203.0440855;inc;p+s-;423;5270;emoscale1;2.0;0.3671459042088827
1557308220.5470865;inc;p+s-;703;4611;emoscale1;3;nan
1557308238.1330926;con;p-s-;711;3261;emoscale1;1.0;0.5841409173299326
1557308255.6170926;con;p-s-;134;8230;emoscale1;2.0;0.6841447593942576
1557308273.1030927;inc;p+s-;699;8380;emoscale1;2.0;0.8342554288665269
