TIMESTAMP;COND;COND-DETAILS;IADS-ID;IAPS-ID;WIDGET-TYPE;ANS;ANS-TIME
1557128008.2790062;inc;p-s+;205;9253;emospace1;[-0.21429748535156248, 0.20892761230468757];8.825713661380632
1557128025.8300064;inc;p+s-;291;5621;emospace1;[-0.0028247070312499983, 0.20689636230468758];5.939497267339448
1557128043.3290062;con;p0s0;724;6570;emospace1;[0.31513732910156256, 0.09682617187500013];6.03961457002606
1557128060.837006;inc;p+s-;260;4490;emospace1;[-0.1104095458984375, -0.10989685058593739];8.708974375906564
1557128078.3190062;con;p0s0;720;7046;emospace1;[0.0, -0.147615966796875];3.5203817920296387
1557128095.8150065;inc;p+s-;310;8470;emospace1;[0.06900756835937505, 0.11313537597656251];6.340106652995473
1557128113.321006;con;p0s0;705;2309;emospace1;[0, 0];nan
1557128130.936006;inc;p-s+;813;9423;emospace1;[-0.4263507080078125, 0.11658325195312508];4.55477837356284
1557128148.5220065;inc;p-s+;216;3015;emospace1;[-0.6066326904296875, 0.10456542968750002];4.888455290507409
1557128166.1220062;inc;p+s-;713;7501;emospace1;[0.41034362792968726, 0.1884332275390625];7.89147970675549
1557128183.6880062;inc;p+s-;711;8130;emospace1;[0.29205139160156246, 0.044222412109375005];2.702970867631393
1557128201.1880062;inc;p+s-;289;8186;emospace1;[0.33333129882812496, -0.046190185546875005];7.491041112370567
1557128218.696006;con;p-s-;277;3053;emospace1;[-0.5433221435546873, 0.24314819335937504];3.303508094726112
1557128236.2820065;con;p+s+;360;4656;emospace1;[-0.0223468017578125, 0.2525103759765624];7.824758250809282
1557128253.8850062;con;p0s0;368;7595;emospace1;[0.4055291748046875, -0.06372741699218754];4.6382028556058685
1557128271.4380062;con;p+s+;815;8370;emospace1;[0.7011785888671873, 0.29252441406250007];5.33902547521393
1557128289.2040062;con;p-s-;134;8230;emospace1;[0.011040649414062489, -0.04451843261718752];8.558911582349538
1557128306.7740064;con;p+s+;205;9156;emospace1;[0.23364746093750008, 0.03808349609375001];6.673596870167785
1557128324.340006;con;p-s-;625;6250;emospace1;[0.06964660644531251, 0.33391784667968755];3.4869859452892342
1557128341.9500062;inc;p+s-;276;8341;emospace1;[-0.010836181640625017, 0.40269165039062516];5.889456625620824
1557128359.508006;inc;p-s+;378;3120;emospace1;[-0.43508911132812483, 0.060945434570312505];3.036547230839915
1557128377.0040061;inc;p-s+;110;6213;emospace1;[0.049723510742187504, 0.03584838867187501];6.9572022288712105
1557128394.4910061;con;p+s+;366;7501;emospace1;[0.5818524169921879, 0.05801818847656247];8.075029595815977
1557128411.973006;con;p+s+;415;4490;emospace1;[0.15993225097656255, -0.20536682128906286];7.574546037402342
1557128429.475006;con;p-s-;260;3102;emospace1;[-0.4364068603515623, 0.24322631835937497];7.073982036000416
1557128446.972006;inc;p-s+;815;9622;emospace1;[0.0357708740234375, 0.2557891845703125];7.341029946403069
1557128464.469006;inc;p-s+;215;3101;emospace1;[-0.2736169433593749, 0.16345458984375003];4.504718221417534
1557128481.9770062;con;p-s-;719;6821;emospace1;[-0.05406799316406251, 0.0535992431640625];1.6518658571139895
1557128499.5750062;con;p-s-;624;9902;emospace1;[0.0, 0.0953204345703125];2.2691196175237565
1557128517.157006;inc;p-s+;109;3261;emospace1;[-0.2773632812500001, 0.17141296386718755];2.5193933638133785
1557128534.6640062;inc;p+s-;288;4668;emospace1;[0.10770935058593724, 0.30325073242187506];7.4577218065333
