TIMESTAMP;COND;COND-DETAILS;IADS-ID;IAPS-ID;WIDGET-TYPE;ANS;ANS-TIME
1558009658.4500751;inc;p-s+;601;3195;emospace1;[-0.6003137207031249, 0.6656286621093748];2.7362516441244225
1558009675.9308226;con;p+s+;352;8186;emospace1;[0.5909381103515626, -0.6215649414062505];1.7185647453043202
1558009693.4325726;inc;p+s-;709;8193;emospace1;[0.0, -0.8506091308593752];1.9187432201470074
1558009710.9173212;con;p+s+;817;8470;emospace1;[0.8396569824218753, -0.0204754638671875];2.586125667177839
1558009728.4280722;inc;p-s+;352;6231;emospace1;[0.09682373046875002, 0.12828369140625];2.8534936465257488
1558009745.9228213;inc;p+s-;295;5623;emospace1;[-0.4725079345703125, -0.158883056640625];4.588087509702746
1558009763.40757;con;p+s+;366;7501;emospace1;[0.15437988281250006, -0.5247216796874999];3.203406990473013
1558009780.891318;inc;p-s+;311;8230;emospace1;[0.007439575195312497, 0.17790039062500018];6.857214423747791
1558009798.3950682;inc;p+s-;502;8034;emospace1;[-0.15493713378906246, -0.12869873046874994];5.388900161542551
1558009815.8788164;inc;p+s-;624;4652;emospace1;[0.4126898193359376, 0.3544818115234379];4.905174809893651
1558009833.385567;inc;p-s+;415;9325;emospace1;[-0.7146246337890629, 0.35876647949218765];1.6017441668518586
1558009850.8693151;inc;p-s+;216;3015;emospace1;[-0.15828918457031252, 0.4526574707031252];3.2700159864944
1558009868.3720653;con;p0s0;132;7249;emospace1;[-0.033441772460937505, -0.190947265625];0.6007887591440522
1558009885.8598142;con;p0s0;728;2525;emospace1;[-0.8570880126953124, -0.0431225585937502];2.0021668514673365
1558009903.3685644;con;p0s0;358;2115;emospace1;[-0.29516662597656257, -0.11285400390625003];5.071947632972297
1558009920.8593135;con;p-s-;624;9902;emospace1;[-0.161280517578125, 0.32672668457031256];3.6540598674109788
1558009938.3570626;inc;p+s-;293;2300;emospace1;[-0.18101440429687504, -0.13205871582031253];1.9020666582255217
1558009955.8448114;inc;p-s+;365;6510;emospace1;[-0.22312988281250015, 0.25828552246093756];4.387943253044796
1558009973.33156;inc;p-s+;351;6250;emospace1;[-0.4120330810546876, 0.16433227539062506];3.019910180268198
