TIMESTAMP;COND;COND-DETAILS;IADS-ID;IAPS-ID;WIDGET-TYPE;ANS;ANS-TIME
1555580213.227836;inc;p-s+;378;3120;emospace1;[-0.8848138427734384, 0.0];3.4835630146953918
1555580230.6948352;inc;p-s+;367;9429;emospace1;[-0.6596929931640625, -0.700275268554687];3.833834598201065
1555580248.1648345;con;p+s+;366;7501;emospace1;[0.6384509277343747, -0.6558544921874998];3.3335911695739924
1555580265.6328332;inc;p-s+;353;6370;emospace1;[-0.8845782470703133, 0.0];3.350332515701666
1555580283.0988324;inc;p+s-;422;4800;emospace1;[0.6799926757812503, -0.5947442626953128];4.51735997301148
1555580300.5688314;con;p0s0;361;7632;emospace1;[0.9204516601562506, -0.03805603027343748];1.7499657819189451
1555580318.0288305;inc;p-s+;817;1525;emospace1;[-0.6559564208984378, 0.538133544921875];1.5834509955057001
1555580335.4998295;con;p+s+;355;8178;emospace1;[-0.6436096191406252, 0.624068603515625];3.033542723977007
1555580352.9658287;con;p0s0;225;4279;emospace1;[0.8525134277343752, 0.0];1.2835556307945808
1555580370.4338276;inc;p-s+;813;9423;emospace1;[-0.6598474121093747, 0.5829577636718758];3.983622145942718
1555580387.903827;inc;p+s-;106;7405;emospace1;[0.6463330078124999, 0.6826605224609376];1.3502553749385697
1555580405.367826;inc;p+s-;312;8370;emospace1;[0.7074340820312499, 0.6132940673828126];3.167528422018222
1555580422.8338249;con;p0s0;104;2810;emospace1;[0.0, 0.8992218017578131];1.2501188628066302
1555580440.303824;con;p0s0;425;7560;emospace1;[-0.027580566406249445, -0.8424798583984365];3.2002252990478155
1555580457.7678227;con;p-s-;241;3010;emospace1;[-0.627412719726563, 0.6372808837890624];3.2668875233684957
1555580475.235822;inc;p+s-;711;8130;emospace1;[-0.6205047607421873, 0.6514233398437501];1.966943833122059
1555580492.702821;inc;p-s+;220;2683;emospace1;[-0.6851617431640628, 0.619636840820313];6.6002709831882385
1555580510.1718204;inc;p+s-;289;8186;emospace1;[-0.8205621337890635, -0.043280639648437105];3.6336002943953645
1555580527.637819;inc;p-s+;210;3102;emospace1;[-0.585469970703125, 0.686719970703125];1.3502844903250661
1555580545.1118188;inc;p+s-;241;8001;emospace1;[0.6242181396484371, -0.6398254394531253];8.083469305180188
1555580562.588818;con;p+s+;367;5470;emospace1;[0.9304425048828127, 0.0];1.9501100381439755
1555580580.0578175;inc;p-s+;216;3015;emospace1;[-0.8602606201171878, 0.0];4.617017131853572
1555580597.5218165;con;p+s+;353;4660;emospace1;[0.7126733398437504, 0.6246911621093749];1.3169446735646488
1555580614.9978158;con;p-s-;502;6231;emospace1;[-0.6378234863281254, 0.5829919433593752];3.3504816945278435
1555580632.4748154;con;p+s+;110;8380;emospace1;[0.8569580078125, 0.0];1.584136557758029
1555580649.9378145;inc;p-s+;610;3063;emospace1;[-0.6077416992187501, 0.6968853759765623];5.983582224847851
1555580667.4058135;con;p-s-;134;8230;emospace1;[-0.6915789794921872, -0.6231585693359377];2.116986815834025
1555580684.8908136;inc;p+s-;260;4490;emospace1;[-0.9289691162109371, 0.03934631347656269];7.266894126856641
1555580702.3578124;con;p+s+;813;8034;emospace1;[0.8371173095703126, 0.0];1.150158243615806
1555580719.8228116;inc;p-s+;200;3005;emospace1;[-0.7389099121093751, 0.6268804931640626];2.283442471001763
1555580737.2898107;inc;p-s+;355;3150;emospace1;[-0.6160137939453126, 0.590374145507813];2.050454560188882
1555580754.7638102;con;p0s0;152;9468;emospace1;[0.6952215576171873, -0.5899841308593755];1.2829481097815005
1555580772.259811;inc;p+s-;255;9156;emospace1;[-0.9058782958984376, 0.04241271972656232];3.61699101805425
1555580789.7348106;con;p+s+;202;4668;emospace1;[0.6763366699218749, 0.7088476562500005];3.433515769731457
1555580807.2118099;inc;p+s-;709;8193;emospace1;[-0.01449523925781276, 0.0];5.517029498387274
1555580824.679809;con;p0s0;132;7249;emospace1;[-0.6753173828124998, -0.6261798095703123];1.2335912296057359
1555580842.144808;con;p+s+;352;8186;emospace1;[0.6296563720703128, 0.6465673828124999];1.383614401849627
1555580859.6128073;con;p-s-;624;9902;emospace1;[-0.6468206787109374, -0.7145977783203129];2.6669001900609146
1555580877.0818064;con;p+s+;205;9156;emospace1;[0.9223590087890633, 0.0];2.7834634821047075
1555580894.547805;inc;p+s-;420;8178;emospace1;[-0.6566839599609378, 0.7003155517578127];5.617041444698771
1555580912.014804;inc;p+s-;625;5470;emospace1;[0, 0];nan
1555580929.4808033;inc;p+s-;295;5623;emospace1;[-0.6892291259765626, -0.6188085937500003];1.850115501030814
1555580946.9518027;inc;p+s-;290;4697;emospace1;[-0.68517333984375, -0.7442608642578122];2.666856667063257
1555580964.441803;inc;p+s-;719;5215;emospace1;[-0.6257843017578126, 0.6360955810546874];1.2334948786938185
1555580981.9198027;con;p-s-;288;9325;emospace1;[-0.9323632812500002, -0.009432983398437431];5.550104875415855
1555580999.3968024;inc;p-s+;808;3010;emospace1;[-0.56500244140625, 0.6085992431640628];1.1669356087750202
1555581016.8728018;con;p0s0;728;2525;emospace1;[-0.8267218017578131, 0.0];3.633551968861866
1555581034.3488016;inc;p+s-;703;4611;emospace1;[0.0, -0.8098156738281242];1.4835531094631733
1555581051.8398018;inc;p+s-;288;4668;emospace1;[-0.6700109863281247, -0.7301354980468749];2.2168036590537668
1555581069.3168015;con;p-s-;255;3063;emospace1;[-0.6070367431640626, 0.6566107177734375];1.9502171947660827
1555581086.7838006;inc;p-s+;311;8230;emospace1;[-0.6950024414062501, 0.6103149414062501];1.7002072895320453
1555581104.2497995;inc;p-s+;110;6213;emospace1;[-0.5978228759765626, -0.6775964355468752];1.8169740891080437
1555581121.7167988;con;p+s+;365;8193;emospace1;[-0.8697015380859381, 0.0];3.916836556436465
1555581139.187798;inc;p-s+;201;9163;emospace1;[-0.59453369140625, 0.62047119140625];1.350102594211421
1555581156.6507971;con;p+s+;817;8470;emospace1;[0.6415747070312497, 0.6631433105468755];1.7503052612992178
1555581174.1207962;con;p0s0;170;1112;emospace1;[0.8268005371093753, 0.0];1.1335357602965814
1555581191.5867949;inc;p+s-;310;8470;emospace1;[-0.9092340087890629, 0.0];3.8001090776360797
1555581209.0507936;con;p-s-;106;6213;emospace1;[-0.925942993164063, 0.030472412109375003];1.5328232438005216
1555581226.5187929;inc;p+s-;424;4651;emospace1;[-0.6032861328124999, 0.6414086914062498];1.6836373339665442
1555581244.003793;con;p0s0;322;9635;emospace1;[-0.8446899414062506, 0.0];1.700874842266785
1555581950.9932306;con;p-s-;289;6263;emoscale1;2.0;1.1167388848280098
1555581968.4782305;con;p0s0;382;7079;emoscale1;2.0;0.5328991839287482
1555581985.9582305;con;p-s-;501;3195;emoscale1;1.0;0.8500512670907483
1555582003.4292295;inc;p-s+;716;9184;emoscale1;2.0;0.9834786701303528
1555582020.9052293;con;p+s+;716;4652;emoscale1;5.0;2.616881160005505
1555582038.3892293;con;p0s0;723;9926;emoscale1;2.0;0.3502046481371508
1555582055.8572285;inc;p-s+;205;9253;emoscale1;1.0;0.8168435201168904
1555582073.3392286;con;p0s0;358;2115;emoscale1;2.0;1.7668304932321917
1555582090.8082275;con;p-s-;711;3261;emoscale1;1.0;0.6836469390418642
1555582108.2752266;con;p+s+;220;5623;emoscale1;4.0;0.3834664236583194
1555582125.7402256;con;p-s-;260;3102;emoscale1;1.0;0.7166334691246448
1555582143.2122247;con;p-s-;423;2683;emoscale1;2.0;0.3001739118953992
1555582160.6772234;inc;p-s+;215;3101;emoscale1;2.0;0.3334161771090294
1555582178.1452231;inc;p+s-;291;5621;emoscale1;3;nan
1555582195.6092215;con;p0s0;724;6570;emoscale1;2.0;0.33299115252521005
1555582213.076221;con;p-s-;291;1525;emoscale1;2.0;0.3667535925978882
1555582230.5592208;con;p-s-;713;6510;emoscale1;2.0;0.46682436999617494
1555582248.02822;inc;p+s-;276;8341;emoscale1;1.0;0.7667455483478989
1555582265.5242207;con;p0s0;368;7595;emoscale1;3;nan
1555582282.99722;con;p-s-;420;3005;emoscale1;1.0;0.6667489101237152
1555582300.463219;con;p+s+;360;4656;emoscale1;2.0;0.31685102408118837
1555582317.929218;inc;p+s-;134;4660;emoscale1;4.0;0.8001162814416602
1555582335.396217;inc;p+s-;713;7501;emoscale1;2.0;0.3334699054976227
1555582352.8652165;con;p+s+;808;8341;emoscale1;4.0;1.8500389605869714
1555582370.3302152;inc;p-s+;360;6230;emoscale1;1.0;1.2835670368222054
1555582387.7972145;inc;p+s-;501;4656;emoscale1;2.0;0.4168785786405351
1555582405.2642133;con;p0s0;377;6010;emoscale1;2.0;0.31686032899779093
1555582422.7332125;inc;p-s+;202;9902;emoscale1;4.0;0.36672027499480464
1555582440.2232127;inc;p-s+;352;6231;emoscale1;2.0;0.3668346354224923
1555582457.7052126;inc;p-s+;601;3195;emoscale1;2.0;0.3500296556703688
1555582475.195213;con;p-s-;277;3053;emoscale1;1.0;0.6835502879730484
1555582492.6672125;con;p0s0;373;9402;emoscale1;2.0;0.3331286251650454
1555582510.1332116;inc;p-s+;820;6821;emoscale1;4.0;0.35002215170607087
1555582527.6012106;con;p0s0;120;1945;emoscale1;3;nan
1555582545.0772102;con;p0s0;130;7092;emoscale1;5.0;0.9167459085365408
1555582562.5522096;con;p+s+;815;8370;emoscale1;5.0;0.8834015893989999
1555582580.0172086;con;p0s0;720;7046;emoscale1;1.0;0.7169498362927698
1555582597.4882078;con;p-s-;719;6821;emoscale1;2.0;0.5835746608499903
1555582614.9552069;inc;p+s-;502;8034;emoscale1;2.0;1.700104935447598
1555582632.4292064;inc;p-s+;204;3053;emoscale1;1.0;0.7668262910137855
1555582649.905206;inc;p-s+;365;6510;emoscale1;2.0;0.0334199591052311
1555582667.371205;inc;p+s-;283;4659;emoscale1;3;nan
1555582684.837204;inc;p-s+;351;6250;emoscale1;2.0;0.8167417663498782
1555582702.3102033;inc;p-s+;415;9325;emoscale1;4.0;1.8667893114725302
1555582719.7812028;con;p0s0;705;2309;emoscale1;2.0;0.33331862556224223
1555582737.2562025;con;p+s+;415;4490;emoscale1;4.0;0.4335986135083658
1555582754.7292016;inc;p+s-;277;4647;emoscale1;1.0;0.9008107884219498
1555582772.2072012;inc;p-s+;109;3261;emoscale1;1.0;0.3167027457311633
1555582789.6752007;con;p+s+;201;4800;emoscale1;5.0;2.199922439016518
1555582807.1552002;inc;p+s-;293;2300;emoscale1;2.0;0.3168297128195263
1555582824.6291995;con;p-s-;709;9163;emoscale1;2.0;0.5502735645513894
1555582842.0931985;inc;p+s-;699;8380;emoscale1;2.0;0.2833575261174701
1555582859.5611975;con;p-s-;625;6250;emoscale1;1.0;1.1835058644974197
1555582877.0271964;inc;p+s-;624;4652;emoscale1;5.0;1.6169574002906302
1555582894.4971955;con;p+s+;200;4697;emoscale1;5.0;0.8168990494577884
1555582911.9661946;inc;p-s+;366;6263;emoscale1;2.0;0.33341677742464526
1555582929.4461946;con;p+s+;215;4651;emoscale1;5.0;1.6502059688355075
1555582946.913194;inc;p-s+;815;9622;emoscale1;5.0;1.0333155039133999
1555582964.3861935;con;p-s-;283;9184;emoscale1;2.0;0.3001423952409823
1555582981.8881946;inc;p+s-;423;5270;emoscale1;2.0;0.7000737189518986
